PLR	FEC	PPS	ELossMin	ELossAvg	ELossMax
0.08	0.16	333	0.994298	0.999466	1
0.08	0.01	333	0.909064	0.922719	0.939676
0.08	0.08	333	0.941176	0.957962	0.982293
0.08	0.14	333	0.987995	0.998427	1
0.08	0.02	333	0.907863	0.923254	0.938475
0.08	0.09	333	0.94958	0.968839	0.990096
0.08	0.18	333	0.998499	0.999886	1
0.08	0.03	333	0.911164	0.926359	0.939976
0.08	0.05	333	0.915966	0.932449	0.95048
0.08	0.13	333	0.988295	0.997101	1
0.08	0	333	0.907563	0.920588	0.932173
0.08	0.11	333	0.97509	0.988568	0.9991
0.08	0.15	333	0.993697	0.999121	1
0.08	0.04	333	0.913565	0.927722	0.942377
0.08	0.06	333	0.921969	0.938442	0.960084
0.08	0.07	333	0.927071	0.946608	0.964586
0.08	0.175	333	0.9967	0.999796	1
0.08	0.165	333	0.9958	0.99961	1
0.08	0.125	333	0.984394	0.995666	1
0.08	0.025	333	0.908463	0.924217	0.936375
0.08	0.095	333	0.951681	0.974061	0.996699
0.08	0.055	333	0.917167	0.935102	0.955582
0.08	0.105	333	0.966387	0.98419	0.996999
0.08	0.005	333	0.907863	0.920936	0.934874
0.08	0.155	333	0.992197	0.999445	1
0.08	0.035	333	0.915392	0.927462	0.942094
0.08	0.145	333	0.984398	0.998914	1
0.08	0.135	333	0.986799	0.997708	1
0.08	0.195	333	0.9988	0.999934	1
0.08	0.115	333	0.969397	0.990516	1
0.08	0.075	333	0.935774	0.951098	0.971789
0.08	0.185	333	0.9985	0.999871	1
0.08	0.085	333	0.943594	0.963483	0.987699
0.08	0.045	333	0.916567	0.930837	0.946279
0.08	0.065	333	0.921369	0.941231	0.958283
0.08	0.015	333	0.912965	0.923064	0.935774
0.085	0.13	333	0.985594	0.995552	1
0.085	0.12	333	0.97479	0.991086	1
0.085	0.18	333	0.998199	0.99985	1
